sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels,errors
"iPhone 16 Pro Max-256GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"iPhone 16 Pro Max-256GB",,,,1,"Taxable Goods","Not Visible Individually",34990000.000000,,,,iphone-16-pro-max-256gb,"iPhone 16 Pro Max","iPhone 16 Pro Max","iPhone 16 Pro Max",/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_2.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_2.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_2.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_2.jpg,,"12/19/24, 2:25 AM","12/19/24, 2:25 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=256GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_2.jpg,,,,,,,,,,,,,,,
"iPhone 16 Pro Max-512GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"iPhone 16 Pro Max-512GB",,,,1,"Taxable Goods","Not Visible Individually",40990000.000000,,,,iphone-16-pro-max-512gb,"iPhone 16 Pro Max","iPhone 16 Pro Max","iPhone 16 Pro Max",/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_3.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_3.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_3.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_3.jpg,,"12/19/24, 2:25 AM","12/19/24, 2:25 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=512GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_3.jpg,,,,,,,,,,,,,,,
"iPhone 16 Pro Max-1TB",,Phone,virtual,"Default Category,Default Category/Phone",base,"iPhone 16 Pro Max-1TB",,,,1,"Taxable Goods","Not Visible Individually",46990000.000000,,,,iphone-16-pro-max-1tb,"iPhone 16 Pro Max","iPhone 16 Pro Max","iPhone 16 Pro Max",/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_4.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_4.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_4.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_4.jpg,,"12/19/24, 2:25 AM","12/19/24, 2:25 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=1TB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_4.jpg,,,,,,,,,,,,,,,
"iPhone 16 Pro Max",,Phone,configurable,"Default Category,Default Category/Phone",base,"iPhone 16 Pro Max",,,,1,"Taxable Goods","Catalog, Search",,,,,iphone-16-pro-max,"iPhone 16 Pro Max","iPhone 16 Pro Max","iPhone 16 Pro Max",/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_1.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_1.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_1.jpg,,,,"12/19/24, 2:25 AM","12/19/24, 2:25 AM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,is_featured=No,0.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_1.jpg,,,,,,,,,,,,,"sku=iPhone 16 Pro Max-256GB,rom=256GB|sku=iPhone 16 Pro Max-512GB,rom=512GB|sku=iPhone 16 Pro Max-1TB,rom=1TB",rom=ROM,"Column configurable_variations: Attribute with code ""rom"" does not exist or is missing from product attribute set"
"iPhone 16 Pro-128GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"iPhone 16 Pro-128GB",,,,1,"Taxable Goods","Not Visible Individually",28990000.000000,,,,iphone-16-pro-128gb,"iPhone 16 Pro","iPhone 16 Pro","iPhone 16 Pro",/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_8.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_8.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_8.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_8.jpg,,"12/19/24, 2:28 AM","12/19/24, 2:33 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=128GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_8.jpg,,,,,,,,,,,,,,,
"iPhone 16 Pro-256GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"iPhone 16 Pro-256GB",,,,1,"Taxable Goods","Not Visible Individually",31990000.000000,,,,iphone-16-pro-256gb,"iPhone 16 Pro","iPhone 16 Pro","iPhone 16 Pro",/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_7.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_7.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_7.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_7.jpg,,"12/19/24, 2:28 AM","12/19/24, 2:32 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=256GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_7.jpg,,,,,,,,,,,,,,,
"iPhone 16 Pro-512GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"iPhone 16 Pro-512GB",,,,1,"Taxable Goods","Not Visible Individually",37990000.000000,,,,iphone-16-pro-512gb,"iPhone 16 Pro","iPhone 16 Pro","iPhone 16 Pro",/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_6.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_6.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_6.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_6.jpg,,"12/19/24, 2:28 AM","12/19/24, 2:32 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=512GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_6.jpg,,,,,,,,,,,,,,,
"iPhone 16 Pro-1TB",,Phone,virtual,"Default Category,Default Category/Phone",base,"iPhone 16 Pro-1TB",,,,1,"Taxable Goods","Not Visible Individually",43990000.000000,,,,iphone-16-pro-1tb,"iPhone 16 Pro","iPhone 16 Pro","iPhone 16 Pro",/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_5.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_5.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_5.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_5.jpg,,"12/19/24, 2:28 AM","12/19/24, 2:32 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=1TB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500_5.jpg,,,,,,,,,,,,,,,
"iPhone 16 Pro",,Phone,configurable,"Default Category,Default Category/Phone",base,"iPhone 16 Pro",,,,1,"Taxable Goods","Catalog, Search",,,,,iphone-16-pro,"iPhone 16 Pro","iPhone 16 Pro","iPhone 16 Pro",/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500.jpg,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500.jpg,,,,"12/19/24, 2:28 AM","12/19/24, 2:31 AM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,is_featured=No,0.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/p/iphone-16-pro-max-titan-sa-mac-5-638638962363556047-750x500.jpg,,,,,,,,,,,,,"sku=iPhone 16 Pro-128GB,rom=128GB|sku=iPhone 16 Pro-256GB,rom=256GB|sku=iPhone 16 Pro-512GB,rom=512GB|sku=iPhone 16 Pro-1TB,rom=1TB",rom=ROM,"Column configurable_variations: Attribute with code ""rom"" does not exist or is missing from product attribute set"
"XiaoMi 14T 5G-256GB",,Phone,virtual,"Default Category,Default Category/Phone",base,"XiaoMi 14T 5G-256GB",,,,1,"Taxable Goods","Not Visible Individually",12990000.000000,,,,xiaomi-14t-5g-256gb,"XiaoMi 14T 5G","XiaoMi 14T 5G","XiaoMi 14T 5G",/x/i/xiaomi-14t-xam-1-638635700973443455-750x500_1.jpg,,/x/i/xiaomi-14t-xam-1-638635700973443455-750x500_1.jpg,,/x/i/xiaomi-14t-xam-1-638635700973443455-750x500_1.jpg,,/x/i/xiaomi-14t-xam-1-638635700973443455-750x500_1.jpg,,"12/19/24, 2:29 AM","12/19/24, 2:29 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"is_featured=No,rom=256GB",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/x/i/xiaomi-14t-xam-1-638635700973443455-750x500_1.jpg,,,,,,,,,,,,,,,
