sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
"Bluetooth Mouse Silent Logitech M240-black",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"Bluetooth Mouse Silent Logitech M240-black",,,,1,"Taxable Goods","Not Visible Individually",310000.000000,,,,bluetooth-mouse-silent-logitech-m240-black,"Bluetooth Mouse Silent Logitech M240","Bluetooth Mouse Silent Logitech M240","Bluetooth Mouse Silent Logitech M240",/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_1.jpg,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_1.jpg,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_1.jpg,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_1.jpg,,"12/19/24, 5:54 PM","12/19/24, 5:54 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=black,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_1.jpg,,,,,,,,,,,,,,
"Bluetooth Mouse Silent Logitech M240-pink",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"Bluetooth Mouse Silent Logitech M240-pink",,,,1,"Taxable Goods","Not Visible Individually",310000.000000,,,,bluetooth-mouse-silent-logitech-m240-pink,"Bluetooth Mouse Silent Logitech M240","Bluetooth Mouse Silent Logitech M240","Bluetooth Mouse Silent Logitech M240",/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_2.jpg,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_2.jpg,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_2.jpg,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_2.jpg,,"12/19/24, 5:54 PM","12/19/24, 5:54 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=pink,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_2.jpg,,,,,,,,,,,,,,
"Bluetooth Mouse Silent Logitech M240-white",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"Bluetooth Mouse Silent Logitech M240-white",,,,1,"Taxable Goods","Not Visible Individually",310000.000000,,,,bluetooth-mouse-silent-logitech-m240-white,"Bluetooth Mouse Silent Logitech M240","Bluetooth Mouse Silent Logitech M240","Bluetooth Mouse Silent Logitech M240",/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_3.jpg,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_3.jpg,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_3.jpg,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_3.jpg,,"12/19/24, 5:54 PM","12/19/24, 5:54 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=white,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500_1_3.jpg,,,,,,,,,,,,,,
"Bluetooth Mouse Silent Logitech M240",,Mouse&Keyboard,configurable,"Default Category,Default Category/Mouse&Keyboard",base,"Bluetooth Mouse Silent Logitech M240",,,,1,"Taxable Goods","Catalog, Search",,,,,bluetooth-mouse-silent-logitech-m240,"Bluetooth Mouse Silent Logitech M240","Bluetooth Mouse Silent Logitech M240","Bluetooth Mouse Silent Logitech M240",/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500.jpg,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500.jpg,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500.jpg,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500.jpg,,"12/19/24, 5:54 PM","12/19/24, 5:54 PM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,is_featured=No,0.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-bluetooth-silent-logitech-m240-den-3-638622753334796567-750x500.jpg,,,,,,,,,,,,,"sku=Bluetooth Mouse Silent Logitech M240-black,color=black|sku=Bluetooth Mouse Silent Logitech M240-pink,color=pink|sku=Bluetooth Mouse Silent Logitech M240-white,color=white",color=Color
"Wireless Mouse Logitech M170-black",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"Wireless Mouse Logitech M170-black",,,,1,"Taxable Goods","Not Visible Individually",190000.000000,,,,wireless-mouse-logitech-m170-black,"Wireless Mouse Logitech M170","Wireless Mouse Logitech M170","Wireless Mouse Logitech M170",/c/h/chuot-khong-day-logitech-m170-den-2-750x500_2.jpg,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_2.jpg,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_2.jpg,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_2.jpg,,"12/19/24, 5:56 PM","12/19/24, 5:56 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=black,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_2.jpg,,,,,,,,,,,,,,
"Wireless Mouse Logitech M170-pink",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"Wireless Mouse Logitech M170-pink",,,,1,"Taxable Goods","Not Visible Individually",190000.000000,,,,wireless-mouse-logitech-m170-pink,"Wireless Mouse Logitech M170","Wireless Mouse Logitech M170","Wireless Mouse Logitech M170",/c/h/chuot-khong-day-logitech-m170-den-2-750x500_3.jpg,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_3.jpg,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_3.jpg,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_3.jpg,,"12/19/24, 5:56 PM","12/19/24, 5:56 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=pink,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_3.jpg,,,,,,,,,,,,,,
"Wireless Mouse Logitech M170-white",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"Wireless Mouse Logitech M170-white",,,,1,"Taxable Goods","Not Visible Individually",190000.000000,,,,wireless-mouse-logitech-m170-white,"Wireless Mouse Logitech M170","Wireless Mouse Logitech M170","Wireless Mouse Logitech M170",/c/h/chuot-khong-day-logitech-m170-den-2-750x500_4.jpg,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_4.jpg,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_4.jpg,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_4.jpg,,"12/19/24, 5:56 PM","12/19/24, 5:56 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=white,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_4.jpg,,,,,,,,,,,,,,
"Wireless Mouse Logitech M170",,Mouse&Keyboard,configurable,"Default Category,Default Category/Mouse&Keyboard",base,"Wireless Mouse Logitech M170",,,,1,"Taxable Goods","Catalog, Search",,,,,wireless-mouse-logitech-m170,"Wireless Mouse Logitech M170","Wireless Mouse Logitech M170","Wireless Mouse Logitech M170",/c/h/chuot-khong-day-logitech-m170-den-2-750x500_1.jpg,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_1.jpg,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_1.jpg,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_1.jpg,,"12/19/24, 5:56 PM","12/19/24, 5:56 PM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,is_featured=No,0.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-khong-day-logitech-m170-den-2-750x500_1.jpg,,,,,,,,,,,,,"sku=Wireless Mouse Logitech M170-black,color=black|sku=Wireless Mouse Logitech M170-pink,color=pink|sku=Wireless Mouse Logitech M170-white,color=white",color=Color
"Mouse Gaming Logitech G102-black",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"Mouse Gaming Logitech G102-black",,,,1,"Taxable Goods","Not Visible Individually",395000.000000,,,,mouse-gaming-logitech-g102-black,"Mouse Gaming Logitech G102","Mouse Gaming Logitech G102","Mouse Gaming Logitech G102",/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500_1_1.jpg,,/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500_1_1.jpg,,/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500_1_1.jpg,,/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500_1_1.jpg,,"12/19/24, 6:00 PM","12/19/24, 6:00 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=black,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500_1_1.jpg,,,,,,,,,,,,,,
"Mouse Gaming Logitech G102-white",,Mouse&Keyboard,virtual,"Default Category,Default Category/Mouse&Keyboard",base,"Mouse Gaming Logitech G102-white",,,,1,"Taxable Goods","Not Visible Individually",395000.000000,,,,mouse-gaming-logitech-g102-white,"Mouse Gaming Logitech G102","Mouse Gaming Logitech G102","Mouse Gaming Logitech G102",/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500_1_2.jpg,,/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500_1_2.jpg,,/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500_1_2.jpg,,/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500_1_2.jpg,,"12/19/24, 6:00 PM","12/19/24, 6:00 PM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"color=white,is_featured=No",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/h/chuot-gaming-logitech-g102-gen2-lightsync-den-1-750x500_1_2.jpg,,,,,,,,,,,,,,
