sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
MSI Pro Screen,,Screen,virtual,"Default Category,Default Category/Screen",base,"MSI Pro Screen MP225 21.45 inch FHD/IPS/100Hz/1ms/HDMI-24.5"" FHD",,,,1,Taxable Goods,Not Visible Individually,1790000,,,,,,,,,,,,,,,,"12/19/24, 4:39 PM","12/19/24, 4:39 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=24.5"" FHD",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MSI Pro Screen-1,,Screen,virtual,"Default Category,Default Category/Screen",base,"MSI Pro Screen MP225 21.45 inch FHD/IPS/100Hz/1ms/HDMI-21.45"" FHD",,,,1,Taxable Goods,Not Visible Individually,1790000,,,,,,,,,,,,,,,,"12/19/24, 4:39 PM","12/19/24, 4:39 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=21.45"" FHD",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MSI Pro Screen-2,,Screen,virtual,"Default Category,Default Category/Screen",base,"MSI Pro Screen MP225 21.45 inch FHD/IPS/100Hz/1ms/HDMI-27"" FHD",,,,1,Taxable Goods,Not Visible Individually,1790000,,,,,,,,,,,,,,,,"12/19/24, 4:39 PM","12/19/24, 4:39 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=27"" FHD",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MSI Pro Screen MP225 21.45 inch FHD/IPS/100Hz/1ms/HDMI,,Screen,configurable,"Default Category,Default Category/Screen",base,MSI Pro Screen MP225 21.45 inch FHD/IPS/100Hz/1ms/HDMI,,,,1,Taxable Goods,"Catalog, Search",,,,,,,,,,,,,,,,,"12/19/24, 4:39 PM","12/19/24, 4:39 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"sku=MSI Pro Screen,screen=24.5"" FHD|sku=MSI Pro Screen-1,screen=21.45"" FHD|sku=MSI Pro Screen-2,screen=27"" FHD",screen=Screen
"Screen-Samsung-S3-S33GC-24""",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Samsung S3 S33GC LS24C330GAEXXV 24 inch-24""",,,,1,Taxable Goods,Not Visible Individually,2290000,,,,,,,,,,,,,,,,"12/19/24, 4:46 PM","12/19/24, 4:54 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=24""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Screen-Samsung-S3-S33GC-27""",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Samsung S3 S33GC LS24C330GAEXXV 24 inch-27""",,,,1,Taxable Goods,Not Visible Individually,2290000,,,,,,,,,,,,,,,,"12/19/24, 4:46 PM","12/19/24, 4:54 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=27""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Screen-Samsung-S3-S33GC,,Screen,configurable,"Default Category,Default Category/Screen",base,Screen Samsung S3 S33GC LS24C330GAEXXV 24 inch,,,,1,Taxable Goods,"Catalog, Search",,,,,,,,,,,,,,,,,"12/19/24, 4:46 PM","12/19/24, 4:55 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"sku=Screen-Samsung-S3-S33GC-24"",screen=24""|sku=Screen-Samsung-S3-S33GC-27"",screen=27""",screen=Screen
"Screen Xiaomi A27i 27 inch-27""",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Xiaomi A27i 27 inch-27""",,,,1,Taxable Goods,Not Visible Individually,2390000,,,,,,,,,,,,,,,,"12/19/24, 4:52 PM","12/19/24, 4:55 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=27""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Screen Xiaomi A27i 27 inch-24""",,Screen,virtual,"Default Category,Default Category/Screen",base,"Screen Xiaomi A27i 27 inch-24""",,,,1,Taxable Goods,Not Visible Individually,2390000,,,,,,,,,,,,,,,,"12/19/24, 4:52 PM","12/19/24, 4:55 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"is_featured=No,screen=24""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Screen Xiaomi A27i 27 inch,,Screen,configurable,"Default Category,Default Category/Screen",base,Screen Xiaomi A27i 27 inch,,,,1,Taxable Goods,"Catalog, Search",,,,,,,,,,,,,,,,,"12/19/24, 4:52 PM","12/19/24, 4:56 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,is_featured=No,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"sku=Screen Xiaomi A27i 27 inch-24"",screen=24""|sku=Screen Xiaomi A27i 27 inch-27"",screen=27""",screen=Screen
